person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60282512,Rieka Levie,1844-08-27T00:00:00Z,Rieka Levie,1908-01-07T00:00:00Z,Hilversum,photographer
http://www.wikidata.org/entity/Q60282565,Saartje Cohen,1880-05-02T00:00:00Z,Saartje Cohen,1943-02-19T00:00:00Z,Auschwitz,photographer
http://www.wikidata.org/entity/Q60282668,Christophina Johanna Cornegoor,1881-01-18T00:00:00Z,Christophina Johanna Cornegoor,1962-08-12T00:00:00Z,Haarlem,photographer
http://www.wikidata.org/entity/Q60282752,Adriaan Daams,1886-03-25T00:00:00Z,Adriaan Daams,1963-01-26T00:00:00Z,Breda,photographer
http://www.wikidata.org/entity/Q60282788,Evert Jacobus Bernardus Daams,1888-08-29T00:00:00Z,Evert Jacobus Bernardus Daams,1957-03-13T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60283248,Frederik Pronk,1833-09-03T00:00:00Z,Frederik Pronk,1905-01-06T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60283357,Hendrikus Johannes Renckens,1871-01-10T00:00:00Z,Hendrikus Johannes Renckens,1911-01-03T00:00:00Z,Breda,photographer
http://www.wikidata.org/entity/Q60283387,Reinier Renes,1843-08-28T00:00:00Z,Reinier Renes,1909-05-09T00:00:00Z,Utrecht,photographer
http://www.wikidata.org/entity/Q60283415,Helena Francisca Maria Resing,1878-08-23T00:00:00Z,Helena Francisca Maria Resing,1967-10-06T00:00:00Z,Soest,photographer
http://www.wikidata.org/entity/Q60283499,Johannes Adrianne de Rooij,1820-07-02T00:00:00Z,Johannes Adrianne de Rooij,1892-01-01T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60283586,Agatha Margaretha Clasina Rijsdijk,1884-10-28T00:00:00Z,Agatha Margaretha Clasina Rijsdijk,1965-03-15T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60283631,Elkan Sanders,1848-08-09T00:00:00Z,Elkan Sanders,1923-03-05T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60284014,Andries Jager,1825-05-02T00:00:00Z,Andries Jager,1905-11-17T00:00:00Z,Hilversum,photographer
http://www.wikidata.org/entity/Q60284071,Hendrik Parson,1837-11-01T00:00:00Z,Hendrik Parson,1896-11-03T00:00:00Z,Bloemendaal,photographer
http://www.wikidata.org/entity/Q60313707,Loek Zwartser,1908-08-02T00:00:00Z,Loek Zwartser,1944-06-25T00:00:00Z,Dover,photographer
